INFO  | 2018-06-27 11:24:58 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530073498481, elapsed time: 51064
INFO  | 2018-06-27 11:25:31 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531238
INFO  | 2018-06-27 11:25:31 | [pool-2-thread-1] ? (:) - CQL: INSERT INTO users (user_id, first_name, last_name, properties, bits, scaleset, largenum, scale, byteobject, ts) VALUES ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
INFO  | 2018-06-27 11:25:31 | [pool-2-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, process tranfer success, time 1530073531272, elapsed time: 34
INFO  | 2018-06-27 11:25:31 | [pool-3-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531283
INFO  | 2018-06-27 11:25:31 | [pool-3-thread-1] ? (:) - CQL: UPDATE users SET cities = [ 'New York', 'Los Angeles' ] WHERE user_id = 'coast2coast';
INFO  | 2018-06-27 11:25:31 | [pool-4-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531291
INFO  | 2018-06-27 11:25:31 | [pool-4-thread-1] ? (:) - CQL: UPDATE users SET cities = [ 'New York', 'Los Angeles' ] WHERE user_id = 'coast2coast';
INFO  | 2018-06-27 11:25:31 | [pool-5-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531298
INFO  | 2018-06-27 11:25:31 | [pool-5-thread-1] ? (:) - CQL: UPDATE users SET cities = [ 'New York', 'Los Angeles' ] WHERE user_id = 'coast2coast';
INFO  | 2018-06-27 11:25:31 | [pool-6-thread-1] ? (:) - dev.at.mikorn.processors.cassandra.PutCassandraQLTest$MockPutCassandraQL, Trigger time: 1530073531308
